key,province_count,id,subsistence_building,city,port,farm,mine,wood,arable_land,resource_building_iron_mine,resource_building_lead_mine,resource_building_logging_camp,resource_building_fishing_wharf,naval_exit_id,resource_building_coal_mine,resource_building_sulfur_mine,resource_building_whaling_station,resource_building_oil_rig,undiscovered_amount_resource_building_oil_rig,discovered_amount_resource_building_oil_rig,resource_building_gold_mine,resource_building_rubber_plantation,undiscovered_amount_resource_building_rubber_plantation,discovered_amount_resource_building_rubber_plantation,resource_building_gold_field,undiscovered_amount_resource_building_gold_field,discovered_amount_resource_building_gold_field,center_province,diorama_radius_multiplier,diorama_center_offset
STATE_CONNAUGHT,8,27,building_subsistence_farm,xC7847D,x5DEF58,xA060C0,x641238,x20E0C0,75.0,0,0,7,4,3030.0,0,48,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ILE_DE_FRANCE,4,28,building_subsistence_farm,x906000,,x12462D,x906000,x7080DF,40.0,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_PROVENCE,9,29,building_subsistence_farm,x31C0DF,x3040E0,xB0C0E0,xB040E0,x3040E0,60.0,0,0,7,12,3098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_NORMANDY,11,30,building_subsistence_farm,x9020C0,xA786BB,x79C0E6,x0B7098,x90A040,120.0,30,0,8,13,3028.0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
STATE_LANGUEDOC,13,31,building_subsistence_farm,x1060C0,x906080,xCF9FBF,xF0C060,xCF9FBF,120.0,0,0,6,8,3098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_RHONE,11,32,building_subsistence_farm,xB04060,,x704060,x30C060,xEF4060,110.0,36,36,14,0,,100,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_FRENCH_LOW_COUNTRIES,6,33,building_subsistence_farm,xA0A080,xD0854D,xE0A0C0,xA0A080,x106000,70.0,0,0,3,6,3105.0,100,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_PICARDY,6,34,building_subsistence_farm,x10A0C0,xE0A624,xC4C61A,xC4C61A,xC4C61A,80.0,0,0,4,1,3028.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ALSACE_LORRAINE,4,35,building_subsistence_farm,x6E4891,,x4899A2,xCC3250,x6E4891,65.0,60,0,17,0,,60,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_POITOU,8,36,building_subsistence_farm,xD020C0,xD0A040,xE269A3,x9401C7,xD0A040,90.0,0,0,5,6,3029.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_GUYENNE,12,37,building_subsistence_farm,xA2BBE9,,xB06000,x106080,xC8CD2F,90.0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_AUVERGNE_LIMOUSIN,13,38,building_subsistence_farm,x61609A,,xDF5770,xDF5770,x61609A,110.0,15,0,8,0,,56,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BRITTANY,14,39,building_subsistence_farm,x706000,x32C2E2,x2368E7,x2BD902,x10A040,120.0,0,0,11,15,3029.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BURGUNDY,12,40,building_subsistence_farm,x8C3297,,x8329EC,x708060,xF08060,80.0,33,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CHAMPAGNE,10,41,building_subsistence_farm,xD6A06D,,xEF00DF,xEFBF20,x600883,80.0,21,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_FRANCHE_COMTE,6,42,building_subsistence_farm,xCF46D1,,xB000E0,xF00060,xCF46D1,50.0,20,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LORRAINE,6,43,building_subsistence_farm,xB080E0,,x70BFA0,xC5F13A,x3080E0,55.0,60,45,17,0,,0,40,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_AQUITAINE,12,44,building_subsistence_farm,xBBF036,x6E16BB,x70A080,xF02080,xCD8E77,90.0,0,0,14,11,3029.0,70,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ORLEANS,13,45,building_subsistence_farm,x47B641,,x50CE72,x90A0C0,x90E000,70.0,0,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_HOLLAND,4,46,building_subsistence_farm,x777732,x80C0A0,xC04021,x777732,x01C0A0,30.0,0,0,4,12,3105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_FRIESLAND,5,47,building_subsistence_farm,xC0C021,x41C021,xC041A0,x4141A0,x41C021,30.0,0,0,2,15,3105.0,0,0,5,60,60,0,0,0,0,0,0,0,0,,,
STATE_GELRE,5,48,building_subsistence_farm,xC0C0A0,,xAF3A54,x0000DF,x41C0A0,40.0,0,0,9,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WALLONIA,8,49,building_subsistence_farm,x5180A0,,x916574,xEF2040,x2D32D7,55.0,60,30,17,0,,80,30,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_FLANDERS,6,50,building_subsistence_farm,x018061,x0141A0,x800060,x808061,x8041A0,90.0,0,0,23,5,3105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_AUSTRIA,11,51,building_subsistence_farm,x316141,,x9001A0,x9001A0,x0CBB8F,80.0,0,0,7,0,,44,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BOHEMIA,21,52,building_subsistence_farm,x81C142,,x9C175D,x74C71F,xAFD2D1,195.0,45,8,17,0,,48,0,0,0,0,0,5,0,0,0,0,0,0,,,
STATE_MORAVIA,10,53,building_subsistence_farm,xD9A784,,xEF6080,x1D088E,x12778D,80.0,0,0,14,0,,56,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_STYRIA,8,54,building_subsistence_farm,xB06141,,x8F8020,x59D927,x86FD73,40.0,24,24,8,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_TYROL,9,55,building_subsistence_farm,x51C0E0,,x5D4166,xF0E0C0,xD0C0E0,30.0,36,0,9,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,,,
STATE_SOUTH_TYROL,4,56,building_subsistence_farm,xD0BF60,,xD0BF60,x039D0F,xD040E0,30.0,0,0,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_POMERANIA,18,57,building_subsistence_farm,x6A53CF,x567452,xA0C020,x19AE19,xA0C020,55.0,0,0,11,10,3074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ELBE,9,58,building_subsistence_farm,x587297,x68BE66,xC08061,x587297,xA5E2E8,30.0,0,0,9,5,3105.0,0,0,0,60,60,0,0,0,0,0,0,0,0,,,
STATE_EAST_SWITZERLAND,5,59,building_subsistence_farm,x5FB41E,,x7E4B86,x90C0E0,xD00161,40.0,30,30,17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WEST_SWITZERLAND,10,60,building_subsistence_farm,xED07F7,,xD08060,x9080E0,xA042B5,50.0,24,24,6,0,,48,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WESTPHALIA,8,61,building_subsistence_farm,xA08061,,x1DD141,x218061,x1DD141,60.0,36,0,24,0,,80,32,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ANHALT,11,62,building_subsistence_farm,xA080E0,,x8A448C,xCF5D8E,xA51232,75.0,0,0,20,0,,44,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_RHINELAND,6,63,building_subsistence_farm,x904020,,x707505,x11C021,xD080A0,55.0,0,30,11,0,,60,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_NORTH_RHINE,6,64,building_subsistence_farm,x9F4072,,x518021,x834B66,x486F6A,77.0,20,0,7,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BRANDENBURG,16,65,building_subsistence_farm,xF8D457,,x83B1A8,xDF4020,x514C51,50.0,0,0,6,0,,44,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SCHLESWIG_HOLSTEIN,8,66,building_subsistence_farm,x64824C,x60809F,x00C060,x00C060,x804160,40.0,0,0,6,6,3074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WURTTEMBERG,6,67,building_subsistence_farm,x118060,,xDBB84C,xDBB84C,xC541D2,70.0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BADEN,5,68,building_subsistence_farm,xE0A2B9,,xB08061,xAEBA2A,x318061,50.0,15,0,11,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_HANNOVER,11,69,building_subsistence_farm,x694B91,xF9DCA2,x4D62A0,x165E05,xBBA504,60.0,24,0,9,4,3105.0,0,0,0,60,60,0,0,0,0,0,0,0,0,,,
STATE_BRUNSWICK,5,70,building_subsistence_farm,xA61E6E,,x4C16EA,xA61E6E,xA61E6E,30.0,45,45,6,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BAVARIA,17,71,building_subsistence_farm,xE76994,,xFE59E7,xE75868,xC347B1,65.0,30,30,23,0,,60,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_FRANCONIA,8,72,building_subsistence_farm,xD0C0A0,,x648AD1,xF91154,x51C0A0,80.0,30,0,17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SAXONY,11,73,building_subsistence_farm,x169073,,xD0C021,x917939,x31E0C0,100.0,30,0,6,0,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_HESSE,11,74,building_subsistence_farm,x11C0A0,,x1141A0,x8B7C67,xD04121,80.0,30,0,8,0,,60,40,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_MECKLENBURG,7,75,building_subsistence_farm,xE080A0,xD8F441,xD9A469,xE041A0,x12E54F,25.0,0,0,8,10,3074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_RUHR,4,584,building_subsistence_farm,x2101E0,,x5101A0,xD08021,x0180E0,39.0,10,0,4,0,,55,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_MAINE_ANJOU,9,970,building_subsistence_farm,x093DF5,,x192CA5,x30E080,x6B5474,112.0,30,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LOMBARDY,8,76,building_subsistence_farm,xD04060,,x867A90,x3F1E38,x4713EE,110.0,27,19,7,0,,0,0,0,20,20,0,0,0,0,0,0,0,0,,,
STATE_PIEDMONT,12,77,building_subsistence_rice_farm,xA9397D,x904061,x11C061,x1140E0,xD080E0,90.0,45,45,8,6,3098.0,28,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SARDINIA,8,78,building_subsistence_farm,xDC4AE3,x0D6170,xFD923D,xFA1A93,xA61F49,15.0,21,21,11,10,3032.0,20,20,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_MALTA,2,79,building_subsistence_orchard,x015121,x015121,x3A8B51,x3A8B51,x3A8B51,5.0,0,0,0,3,3033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_UMBRIA,6,80,building_subsistence_farm,x30C021,xD3A384,xD8F07B,x6E8D07,x30C021,20.0,9,0,7,5,3093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CORSICA,3,81,building_subsistence_pasture,xEF4020,x706E78,x396B5C,xEF4020,xEF4020,10.0,0,0,6,7,3098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CAMPANIA,6,82,building_subsistence_farm,x214415,xDF1CE3,x73CE17,xDF1CE3,x890469,90.0,0,0,11,10,3102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CALABRIA,4,83,building_subsistence_farm,xC050E0,xC01020,xC050E0,xC01020,xE78C7B,30.0,24,0,7,12,3033.0,16,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_APULIA,7,84,building_subsistence_farm,x30209F,x74BD9B,x2C8F44,x704020,x4050DF,60.0,0,0,4,14,3033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ABRUZZO,5,85,building_subsistence_farm,x31C0A0,x0AE57A,xA6F611,x0D3025,x31C0A0,25.0,0,0,9,7,3093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SAVOY,4,86,building_subsistence_farm,x56B04B,,xD000E0,x56B04B,xD000E0,20.0,24,24,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_EMILIA,5,87,building_subsistence_farm,x0B3B43,xF080A0,x0B3B43,xEF0021,x700120,60.0,24,0,13,3,3098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_TUSCANY,6,88,building_subsistence_farm,xFAFCD4,x6A7662,xF12431,xB04020,xB04020,60.0,60,0,11,5,3098.0,0,40,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ROMAGNA,4,89,building_subsistence_farm,x7000A0,x708020,xFE3729,xF000A0,x708020,40.0,0,0,8,6,3093.0,0,48,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LAZIO,4,90,building_subsistence_farm,xB5726E,xB5726E,xB0C0A0,x3040A0,xB040A0,60.0,0,0,11,7,3102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_VENETIA,10,91,building_subsistence_farm,x3083C8,xB001A0,x5141E0,x8EEB7A,x6984B4,70.0,0,0,7,12,3093.0,44,36,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SICILY,7,92,building_subsistence_farm,xF0AF66,x805120,x00D020,xB7B8F1,x8A0548,60.0,0,0,6,10,3033.0,0,100,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_NEW_CASTILE,18,93,building_subsistence_farm,xDCD24C,,xB0A000,x8010A0,xB0A080,51.0,3,0,4,0,,7,6,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_GALICIA,8,94,building_subsistence_farm,xD0E040,xB85939,x50E040,x0EA604,x33F984,51.0,4,0,5,8,3029.0,0,0,1,0,0,0,2,0,0,0,0,0,0,,,
STATE_ASTURIAS,4,691,building_subsistence_farm,x0F84B8,x0F84B8,x525202,x0F84B8,x5060C0,21.0,5,0,5,7,3029.0,72,0,0,0,0,0,2,0,0,0,0,0,0,,,
STATE_OLD_CASTILE,22,95,building_subsistence_farm,x70A000,xA1037C,x50E0C0,xAC1425,xD7A4DE,69.0,5,0,6,3,3029.0,8,2,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BASQUE_COUNTRY,5,96,building_subsistence_farm,xABE0B3,x48868C,x10E0C0,x48868C,x702080,42.0,65,2,11,10,3029.0,4,0,1,0,0,0,0,0,0,0,0,0,0,,,
STATE_ARAGON,11,97,building_subsistence_farm,x45B331,,x30A080,x45B331,x339B06,34.0,5,0,8,0,,18,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CATALONIA,11,98,building_subsistence_farm,xE0C020,x890622,x11E041,x08B4D6,x906040,56.0,5,6,6,12,3098.0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BALEARIC_ISLANDS,2,99,building_subsistence_farm,x60F080,x7D3FD7,x7D3FD7,x7D3FD7,x7D3FD7,11.0,0,0,2,5,3098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LOWER_ANDALUSIA,12,100,building_subsistence_farm,x4A1438,xB1108A,x3C4E5B,xD06000,x801020,67.0,4,0,4,9,3089.0,0,44,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_UPPER_ANDALUSIA,13,101,building_subsistence_farm,xA0B040,xBC6ED3,x27E575,x20B040,x0362A1,53.0,7,46,4,8,3032.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_EXTREMADURA,12,102,building_subsistence_farm,x679A01,,xF19B02,x7500D4,x30A000,34.0,2,0,13,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_VALENCIA,7,103,building_subsistence_farm,x8FDF80,x25DD5C,xCAC27C,xD06040,x721583,56.0,8,5,5,10,3032.0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BEIRA,6,104,building_subsistence_farm,xA0F6EC,xA0F6EC,xF92B7F,x9238AD,xE24C15,65.0,3,6,5,4,3089.0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,
STATE_ESTREMADURA,4,105,building_subsistence_farm,xD0A080,x545164,xD02000,xD02000,xD02000,30.0,0,0,4,8,3089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ALENTEJO,9,106,building_subsistence_farm,xEFC9BC,x88DCE1,x207080,xA07080,xC3BFC4,25.0,16,0,2,6,3089.0,4,22,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CAPE_VERDE,4,107,building_subsistence_pasture,xA2E8C5,x4B7FA5,x4B7FA5,xA2C3E8,xA2C3E8,4.0,0,0,2,3,3088.0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,
STATE_CANARY_ISLANDS,5,1010,building_subsistence_farm,x655491,x655491,x20EF01,x64C2B3,xC2C164,7.0,0,0,2,4,3089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_AZORES,3,1011,building_subsistence_farm,x9B6D87,x769456,x90A080,x90A080,x90A080,6.0,0,0,2,5,3085.0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
STATE_MADEIRA,2,1012,building_subsistence_farm,x4D5156,x385719,x385719,x385719,x385719,9.0,0,0,2,3,3089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_EASTERN_THRACE,7,108,building_subsistence_farm,xF0A020,x2073F0,x115006,xFCF160,x608BB0,30.0,18,0,4,10,3035.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_DOBRUDJA,8,109,building_subsistence_farm,xD9E021,xB06121,xB06121,xA3D7CE,x940C8D,10.0,0,0,11,7,3036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ALBANIA,9,110,building_subsistence_farm,xD0A061,xC771E0,x71C0E0,x68131C,xC42EC6,50.0,24,0,6,8,3093.0,0,0,0,20,20,0,0,0,0,0,0,0,0,,,
STATE_BOSNIA,17,111,building_subsistence_farm,x51A0A0,,x7C904A,x5F13FD,xDA817B,40.0,48,39,14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_NORTHERN_THRACE,11,112,building_subsistence_farm,xF021A0,x7121A0,xF021A0,x95BCE8,x6E7192,30.0,33,0,17,6,3036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_BULGARIA,16,113,building_subsistence_farm,xC59A98,xF0A0A0,x64275F,x71A0A0,x6768DB,35.0,0,0,14,2,3036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SLOVENIA,4,114,building_subsistence_farm,x44F127,,x31E041,x31E041,x792B8A,25.0,0,0,11,0,,60,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_DALMATIA,3,115,building_subsistence_farm,xF9421B,xEFA0C0,xEFA0C0,xF9421B,xF9421B,20.0,0,0,4,13,3093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CROATIA,8,116,building_subsistence_farm,x71A041,xF021C0,x6D8BC6,xF021C0,x70DF00,35.0,0,0,11,5,3093.0,60,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SLAVONIA,7,117,building_subsistence_farm,x80CF00,,x906121,x51A021,x106020,20.0,0,0,14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ISTRIA,6,118,building_subsistence_farm,x3060BF,x36B2E3,xF0A040,x56C78A,x56C78A,25.0,0,0,5,14,3093.0,44,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_MONTENEGRO,5,119,building_subsistence_farm,x446E84,x90A0E0,x8C6292,xA12F82,xA12F82,38.0,0,0,15,15,3093.0,50,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WESTERN_SERBIA,8,120,building_subsistence_farm,xF9E78E,,x9DFFAF,x90A061,xEDBA20,35.0,24,0,13,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_EASTERN_SERBIA,9,121,building_subsistence_farm,x334B53,,x62A730,x74F1F4,xAC083C,45.0,0,12,10,0,,30,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_KOSOVO,4,923,building_subsistence_farm,x45E06A,,xA5D3A9,x45E06A,xA5D3A9,45.0,0,24,4,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_CRETE,2,122,building_subsistence_farm,x0B9BBE,x6010A0,x6010A0,x6010A0,x6010A0,8.0,0,0,2,5,3034.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WEST_AEGEAN_ISLANDS,2,123,building_subsistence_orchard,x6090A0,x6960A0,x6090A0,x6090A0,x6090A0,5.0,0,0,0,4,3117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_EAST_AEGEAN_ISLANDS,3,1001,building_subsistence_orchard,x2190A0,xE011A0,x2190A0,xC56452,xC56452,5.0,0,0,0,6,3034.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ATTICA,8,124,building_subsistence_farm,xC72C61,x518791,x0A645C,x465F8D,x518791,25.0,0,21,7,8,3033.0,0,32,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_THESSALIA,6,125,building_subsistence_farm,x80D060,xACFFA7,x80D060,x8050E0,x01D0E0,50.0,0,0,11,5,3117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SKOPIA,7,126,building_subsistence_farm,x7CF777,,x11E0A0,x596DE2,x494421,30.0,36,0,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_MACEDONIA,9,127,building_subsistence_farm,x506020,xE48F39,x506020,x90E0A0,x90E0A0,20.0,0,0,9,3,3117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WESTERN_THRACE,7,128,building_subsistence_farm,xEDECFB,xF02020,xBE51B7,xB2249C,xBE51B7,20.0,27,0,5,10,3117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
