key,construction_cost,profit,employment,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art
building_food_industry(pm_bakery+pm_cannery+pm_patent_stills+pm_manual_dough_processing),600,1500.0,6400,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,35,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,0,0,0,-20.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery+pm_patent_stills+pm_automated_bakery),600,1100.0,3900,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,35,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,-10,0,0,-20.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery_fish+pm_disabled_distillery+pm_manual_dough_processing),600,850.0,5500,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery_fish+pm_disabled_distillery+pm_automated_bakery),600,450.0,3000,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery_fish+pm_pot_stills+pm_manual_dough_processing),600,1000.0,5850,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery_fish+pm_pot_stills+pm_automated_bakery),600,600.0,3350,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery_fish+pm_patent_stills+pm_manual_dough_processing),600,1500.0,6400,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,35,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,0,0,0,0.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery_fish+pm_patent_stills+pm_automated_bakery),600,1100.0,3900,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,35,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,-10,0,0,0.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning+pm_disabled_distillery+pm_manual_dough_processing),600,1150.0,5700,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,105,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning+pm_disabled_distillery+pm_automated_bakery),600,750.0,3200,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,105,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning+pm_pot_stills+pm_manual_dough_processing),600,1300.0,6050,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning+pm_pot_stills+pm_automated_bakery),600,900.0,3550,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning+pm_patent_stills+pm_manual_dough_processing),600,1800.0,6600,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,0,0,0,-20.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning+pm_patent_stills+pm_automated_bakery),600,1400.0,4100,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,-10,0,0,-20.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning_principle_3+pm_disabled_distillery+pm_manual_dough_processing),600,1450.0,5700,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,115,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning_principle_3+pm_disabled_distillery+pm_automated_bakery),600,1050.0,3200,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,115,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning_principle_3+pm_pot_stills+pm_manual_dough_processing),600,1600.0,6050,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,85,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning_principle_3+pm_pot_stills+pm_automated_bakery),600,1200.0,3550,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,85,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning_principle_3+pm_patent_stills+pm_manual_dough_processing),600,2100.0,6600,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,0,0,0,-20.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_vacuum_canning_principle_3+pm_patent_stills+pm_automated_bakery),600,1700.0,4100,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,-10,0,0,-20.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_disabled_canning+pm_disabled_distillery+pm_manual_dough_processing),600,700.0,5000,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_disabled_canning+pm_disabled_distillery+pm_automated_bakery),600,300.0,2500,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_disabled_canning+pm_pot_stills+pm_manual_dough_processing),600,850.0,5350,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,35,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_disabled_canning+pm_pot_stills+pm_automated_bakery),600,450.0,2850,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,35,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_disabled_canning+pm_patent_stills+pm_manual_dough_processing),600,1350.0,5900,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,25,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,0,0,0,0.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_disabled_canning+pm_patent_stills+pm_automated_bakery),600,950.0,3400,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,25,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,-10,0,0,0.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery+pm_disabled_distillery+pm_manual_dough_processing),600,1000.0,5500,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery+pm_disabled_distillery+pm_automated_bakery),600,600.0,3000,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery+pm_pot_stills+pm_manual_dough_processing),600,1150.0,5850,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery+pm_pot_stills+pm_automated_bakery),600,750.0,3350,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery+pm_patent_stills+pm_manual_dough_processing),600,1650.0,6400,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,55,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,0,0,0,-20.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery+pm_patent_stills+pm_automated_bakery),600,1250.0,3900,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,55,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,-10,0,0,-20.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery_fish+pm_disabled_distillery+pm_manual_dough_processing),600,1000.0,5500,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery_fish+pm_disabled_distillery+pm_automated_bakery),600,600.0,3000,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery_fish+pm_pot_stills+pm_manual_dough_processing),600,1150.0,5850,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery_fish+pm_pot_stills+pm_automated_bakery),600,750.0,3350,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery_fish+pm_patent_stills+pm_manual_dough_processing),600,1650.0,6400,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,55,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,0,0,0,0.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_cannery_fish+pm_patent_stills+pm_automated_bakery),600,1250.0,3900,0,0,0,0,0,0,0,-20.0,-30.0,0.0,0.0,55,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,-10,0.0,-10,0,0,0.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning+pm_disabled_distillery+pm_manual_dough_processing),600,1300.0,5700,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,125,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning+pm_disabled_distillery+pm_automated_bakery),600,900.0,3200,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,125,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning+pm_pot_stills+pm_manual_dough_processing),600,1450.0,6050,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning+pm_pot_stills+pm_automated_bakery),600,1050.0,3550,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning+pm_patent_stills+pm_manual_dough_processing),600,1950.0,6600,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,85,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,0,0,0,-20.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning+pm_patent_stills+pm_automated_bakery),600,1550.0,4100,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,85,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,-10,0,0,-20.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning_principle_3+pm_disabled_distillery+pm_manual_dough_processing),600,1600.0,5700,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,135,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning_principle_3+pm_disabled_distillery+pm_automated_bakery),600,1200.0,3200,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,135,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning_principle_3+pm_pot_stills+pm_manual_dough_processing),600,1750.0,6050,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,105,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning_principle_3+pm_pot_stills+pm_automated_bakery),600,1350.0,3550,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,105,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning_principle_3+pm_patent_stills+pm_manual_dough_processing),600,2250.0,6600,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,0,0,0,-20.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_sweeteners+pm_vacuum_canning_principle_3+pm_patent_stills+pm_automated_bakery),600,1850.0,4100,0,0,0,0,0,0,0,-10.0,-30.0,0.0,0.0,95,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,-10,0.0,-10,0,0,-20.0,0.0,100.0,0,0,0,-40,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_disabled_canning+pm_disabled_distillery+pm_manual_dough_processing),600,1100.0,5000,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,120,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,-30,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_disabled_canning+pm_disabled_distillery+pm_automated_bakery),600,700.0,2500,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,120,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,0.0,0,0,0,-30,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_disabled_canning+pm_pot_stills+pm_manual_dough_processing),600,1250.0,5350,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,90,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,-55,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_disabled_canning+pm_pot_stills+pm_automated_bakery),600,850.0,2850,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,90,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,60.0,0,0,0,-55,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_disabled_canning+pm_patent_stills+pm_manual_dough_processing),600,1750.0,5900,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,80,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,0,0,0,0.0,0.0,100.0,0,0,0,-55,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_disabled_canning+pm_patent_stills+pm_automated_bakery),600,1350.0,3400,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,80,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,-10,0,0,0.0,0.0,100.0,0,0,0,-55,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_cannery+pm_disabled_distillery+pm_manual_dough_processing),600,1400.0,5500,0,0,0,0,0,0,0,-60.0,0.0,0.0,0.0,150,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,-30,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_cannery+pm_disabled_distillery+pm_automated_bakery),600,1000.0,3000,0,0,0,0,0,0,0,-60.0,0.0,0.0,0.0,150,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,-30,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_cannery+pm_pot_stills+pm_manual_dough_processing),600,1550.0,5850,0,0,0,0,0,0,0,-60.0,0.0,0.0,0.0,120,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-55,0,0,0,0,0,0,0,0,0
building_food_industry(pm_baking_powder+pm_cannery+pm_pot_stills+pm_automated_bakery),600,1150.0,3350,0,0,0,0,0,0,0,-60.0,0.0,0.0,0.0,120,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-55,0,0,0,0,0,0,0,0,0
